"date","freq","btc"
2010-08-19,418,27377.932
2010-08-20,510,38955.082
2010-08-21,466,50173.848
2010-08-22,417,27917.67
2010-08-23,441,26950.564
2010-08-24,476,32392.078
2010-08-25,432,26361.904
2010-08-26,417,27025.719
2010-08-27,389,37033.047
2010-08-28,392,21886.99
2010-08-29,329,16869.152
2010-08-30,522,33314.11
2010-08-31,467,41100.945
2010-09-01,542,36268.547
2010-09-02,404,44090.37
2010-09-03,349,33142.44
2010-09-04,354,45316.184
2010-09-05,364,140251.1
2010-09-06,335,86899.23
2010-09-07,334,26255.385
2010-09-08,453,38356.812
2010-09-09,532,26744.193
2010-09-10,357,21122.312
2010-09-11,373,20952.424
2010-09-12,532,115033.37
2010-09-13,593,38301.4
2010-09-14,594,53683.84
2010-09-15,524,34715.516
2010-09-16,485,42552.26
2010-09-17,459,91051.61
2010-09-18,437,54834.95
2010-09-19,468,64985.746
2010-09-20,743,49189.793
2010-09-21,1220,35311.527
2010-09-22,943,58875.785
2010-09-23,692,129849.28
2010-09-24,616,30261.898
2010-09-25,710,39398.88
2010-09-26,667,36157.883
2010-09-27,596,43941.723
2010-09-28,1087,111151.63
2010-09-29,1218,80484.06
2010-09-30,915,82869.88
2010-10-01,603,32740.893
2010-10-02,644,393429.1
2010-10-03,540,58929.363
2010-10-04,605,576221.3
2010-10-05,495,186322.28
2010-10-06,561,147449.42
2010-10-07,443,140144.8
2010-10-08,487,210972.52
2010-10-09,550,127738.81
2010-10-10,489,125339.92
2010-10-11,434,77791.73
2010-10-12,484,65220.18
2010-10-13,512,137738.75
2010-10-14,456,184841.56
2010-10-15,446,156263.77
2010-10-16,564,210044.64
2010-10-17,583,136110.6
2010-10-18,1014,226985.4
2010-10-19,1359,284539.47
2010-10-20,894,213055
2010-10-21,741,187333.48
2010-10-22,854,132303.1
2010-10-23,697,36760.754
2010-10-24,754,117848.37
2010-10-25,616,194798.72
2010-10-26,733,194983.75
2010-10-27,751,180586.7
2010-10-28,736,203926.4
2010-10-29,550,92530.4
2010-10-30,504,64850.355
2010-10-31,384,77051.055
2010-11-01,435,49809.87
2010-11-02,356,82197.336
2010-11-03,420,52599.418
2010-11-04,432,170770.86
2010-11-05,557,51348.496
2010-11-06,509,146966.61
2010-11-07,551,128270.7
2010-11-08,616,485148.72
2010-11-09,484,59526.535
2010-11-10,521,68714.266
2010-11-11,443,50862.67
2010-11-12,340,43546.703
2010-11-13,442,46213.945
2010-11-14,445,46879.105
