Date,value
2011-07-29,21785
2011-07-30,19006
2011-07-31,25538
2011-08-01,24979
2011-08-02,18896
2011-08-03,17548
2011-08-04,19957
2011-08-05,21064
2011-08-06,18963
2011-08-07,20053
2011-08-08,21562
2011-08-09,23709
2011-08-10,18739
2011-08-11,17569
2011-08-12,16569
2011-08-13,18662
2011-08-14,21693
2011-08-15,19165
2011-08-16,22266
2011-08-17,20370
2011-08-18,22052
2011-08-19,20852
2011-08-20,20846
2011-08-21,24041
2011-08-22,24072
2011-08-23,21945
2011-08-24,21248
2011-08-25,22519
2011-08-26,17732
2011-08-27,19439
2011-08-28,19125
2011-08-29,17575
2011-08-30,18487
2011-08-31,16724
2011-09-01,15963
2011-09-02,15980
2011-09-03,14004
2011-09-04,88954
2011-09-05,17632
2011-09-06,17896
2011-09-07,16246
2011-09-08,16060
2011-09-09,16802
2011-09-10,14786
2011-09-11,15481
2011-09-12,14690
2011-09-13,15267
2011-09-14,14189
2011-09-15,14392
2011-09-16,13808
2011-09-17,12497
2011-09-18,15191
2011-09-19,15978
2011-09-20,22315
2011-09-21,15903
2011-09-22,18760
2011-09-23,19801
2011-09-24,18845
2011-09-25,18512
2011-09-26,17640
2011-09-27,17454
2011-09-28,13676
2011-09-29,12696
2011-09-30,13111
2011-10-01,11837
2011-10-02,12313
2011-10-03,13998
2011-10-04,13027
2011-10-05,13208
2011-10-06,13527
2011-10-07,13101
2011-10-08,12044
2011-10-09,12795
2011-10-10,13196
2011-10-11,14739
2011-10-12,11401
2011-10-13,11698
2011-10-14,13689
2011-10-15,12114
2011-10-16,11687
2011-10-17,13588
2011-10-18,10981
2011-10-19,12216
2011-10-20,10524
2011-10-21,11112
2011-10-22,12353
2011-10-23,12176
2011-10-24,13370
2011-10-25,12703
2011-10-26,11818
2011-10-27,10979
2011-10-28,11969
2011-10-29,11959
2011-10-30,10285
2011-10-31,11580
2011-11-01,12369
2011-11-02,12140
2011-11-03,12563
2011-11-04,14934
2011-11-05,12572
2011-11-06,12149
2011-11-07,12369
2011-11-08,14308
2011-11-09,14652
2011-11-10,13694
2011-11-11,11446
2011-11-12,11854
2011-11-13,12836
2011-11-14,13395
2011-11-15,13772
2011-11-16,13489
2011-11-17,11647
2011-11-18,11827
2011-11-19,10829
2011-11-20,11312
2011-11-21,11800
2011-11-22,12444
2011-11-23,11612
2011-11-24,11429
2011-11-25,12043
2011-11-26,11406
2011-11-27,12353
2011-11-28,13738
2011-11-29,14146
2011-11-30,14171
2011-12-01,15610
2011-12-02,13516
2011-12-03,13075
2011-12-04,13040
2011-12-05,14367
2011-12-06,17975
2011-12-07,13388
2011-12-08,13443
2011-12-09,14093
2011-12-10,11406
2011-12-11,12150
2011-12-12,13301
2011-12-13,12575
2011-12-14,12839
2011-12-15,11574
2011-12-16,10612
2011-12-17,11102
2011-12-18,11083
2011-12-19,14154
2011-12-20,13913
2011-12-21,12683
2011-12-22,14386
2011-12-23,12043
2011-12-24,10369
2011-12-25,13397
2011-12-26,13545
2011-12-27,11448
2011-12-28,12258
2011-12-29,10888
2011-12-30,12486
2011-12-31,10534
2012-01-01,12573
2012-01-02,13308
2012-01-03,13549
2012-01-04,13274
2012-01-05,15101
2012-01-06,14819
2012-01-07,15217
2012-01-08,14587
2012-01-09,15244
2012-01-10,16038
2012-01-11,16498
2012-01-12,15609
2012-01-13,15276
2012-01-14,16922
2012-01-15,14147
2012-01-16,16332
2012-01-17,15973
2012-01-18,14748
2012-01-19,15903
2012-01-20,16191
2012-01-21,14195
2012-01-22,13676
2012-01-23,15130
2012-01-24,17700
2012-01-25,16789
2012-01-26,15318
2012-01-27,14145
2012-01-28,15624
2012-01-29,14812
2012-01-30,15353
2012-01-31,16118
2012-02-01,16174
2012-02-02,18278
2012-02-03,16496
2012-02-04,16694
2012-02-05,15554
2012-02-06,14750
2012-02-07,15656
2012-02-08,17120
2012-02-09,17854
2012-02-10,19075
2012-02-11,16232
2012-02-12,18640
2012-02-13,20473
2012-02-14,21127
2012-02-15,23648
2012-02-16,18776
2012-02-17,14493
2012-02-18,17146
2012-02-19,14830
2012-02-20,15407
2012-02-21,15792
2012-02-22,18134
2012-02-23,18681
2012-02-24,17683
2012-02-25,15392
2012-02-26,14062
2012-02-27,17206
2012-02-28,18207
2012-02-29,16571
2012-03-01,17614
2012-03-02,16052
2012-03-03,13937
2012-03-04,17842
2012-03-05,18610
2012-03-06,16476
2012-03-07,17512
2012-03-08,17653
2012-03-09,17586
2012-03-10,13454
2012-03-11,13822
2012-03-12,17012
2012-03-13,16745
2012-03-14,17838
2012-03-15,15682
2012-03-16,17703
2012-03-17,17518
2012-03-18,14805
2012-03-19,16557
2012-03-20,16340
2012-03-21,17040
2012-03-22,16769
2012-03-23,15311
2012-03-24,16167
2012-03-25,14748
2012-03-26,17364
2012-03-27,16599
2012-03-28,18051
2012-03-29,18440
2012-03-30,17723
2012-03-31,14487
2012-04-01,14118
2012-04-02,16597
2012-04-03,18013
2012-04-04,15830
2012-04-05,16427
2012-04-06,15582
2012-04-07,15387
2012-04-08,15107
2012-04-09,16226
2012-04-10,20858
2012-04-11,19584
2012-04-12,19150
2012-04-13,17755
2012-04-14,19280
2012-04-15,18159
2012-04-16,20359
2012-04-17,19084
2012-04-18,19718
2012-04-19,18754
2012-04-20,19864
2012-04-21,15776
2012-04-22,16491
2012-04-23,18031
2012-04-24,18895
2012-04-25,17910
2012-04-26,23253
2012-04-27,17962
2012-04-28,18514
2012-04-29,18742
2012-04-30,23095
2012-05-01,24612
2012-05-02,24933
2012-05-03,32915
2012-05-04,31360
2012-05-05,29626
2012-05-06,27818
2012-05-07,43393
2012-05-08,37389
2012-05-09,39475
2012-05-10,30884
2012-05-11,38125
2012-05-12,39065
2012-05-13,38250
2012-05-14,58569
2012-05-15,50417
2012-05-16,35072
2012-05-17,43251
2012-05-18,62146
2012-05-19,71889
2012-05-20,64575
2012-05-21,66507
2012-05-22,53835
2012-05-23,55498
2012-05-24,61857
2012-05-25,55271
2012-05-26,54296
2012-05-27,61552
2012-05-28,61385
2012-05-29,67621
2012-05-30,53696
2012-05-31,45749
2012-06-01,61007
2012-06-02,29641
2012-06-03,84788
2012-06-04,90604
2012-06-05,83689
2012-06-06,45892
2012-06-07,71810
2012-06-08,48917
2012-06-09,77839
2012-06-10,88380
2012-06-11,66595
2012-06-12,59945
2012-06-13,122853
2012-06-14,140887
2012-06-15,116784
2012-06-16,90474
2012-06-17,103184
2012-06-18,79206
2012-06-19,87408
2012-06-20,76077
2012-06-21,60969
2012-06-22,54113
2012-06-23,50269
2012-06-24,52062
2012-06-25,70008
2012-06-26,71063
2012-06-27,68388
2012-06-28,57367
2012-06-29,50599
2012-06-30,52445
2012-07-01,40287
2012-07-02,59074
2012-07-03,47840
2012-07-04,54212
2012-07-05,54192
2012-07-06,57098
2012-07-07,50735
2012-07-08,50481
2012-07-09,57904
2012-07-10,84253
2012-07-11,60273
2012-07-12,50722
2012-07-13,65155
2012-07-14,44161
2012-07-15,64361
2012-07-16,73604
2012-07-17,71002
2012-07-18,75961
2012-07-19,75579
2012-07-20,80028
2012-07-21,77474
2012-07-22,75407
2012-07-23,69259
2012-07-24,65477
2012-07-25,60858
2012-07-26,68987
2012-07-27,62457
2012-07-28,73663
2012-07-29,77782
2012-07-30,76107
2012-07-31,84140
2012-08-01,68130
2012-08-02,68206
2012-08-03,61174
2012-08-04,67852
2012-08-05,70618
2012-08-06,78739
2012-08-07,63515
2012-08-08,86128
2012-08-09,65019
2012-08-10,63072
2012-08-11,74309
2012-08-12,84036
2012-08-13,112693
2012-08-14,88250
2012-08-15,113640
2012-08-16,89596
2012-08-17,90371
2012-08-18,74381
2012-08-19,79610
2012-08-20,80577
2012-08-21,94212
2012-08-22,73389
2012-08-23,70619
2012-08-24,72496
2012-08-25,68339
2012-08-26,67234
2012-08-27,69663
2012-08-28,70919
2012-08-29,73044
2012-08-30,75277
2012-08-31,89270
2012-09-01,80132
2012-09-02,84418
2012-09-03,82860
2012-09-04,84448
2012-09-05,92401
2012-09-06,88187
2012-09-07,73909
2012-09-08,69144
2012-09-09,73481
2012-09-10,71421
2012-09-11,87873
2012-09-12,62453
2012-09-13,75119
2012-09-14,82483
2012-09-15,63534
2012-09-16,64463
2012-09-17,63315
2012-09-18,72642
2012-09-19,74509
2012-09-20,72511
2012-09-21,70154
2012-09-22,52267
2012-09-23,73820
2012-09-24,62281
2012-09-25,67401
2012-09-26,72254
2012-09-27,69499
2012-09-28,82781
2012-09-29,56446
2012-09-30,56130
2012-10-01,77409
2012-10-02,76223
2012-10-03,65071
2012-10-04,79647
2012-10-05,82604
2012-10-06,77577
2012-10-07,92557
2012-10-08,99290
2012-10-09,84615
2012-10-10,79903
2012-10-11,66443
2012-10-12,80961
2012-10-13,81202
2012-10-14,74138
2012-10-15,77231
2012-10-16,89359
2012-10-17,84810
2012-10-18,72593
2012-10-19,71397
2012-10-20,89417
2012-10-21,87009
2012-10-22,107078
2012-10-23,79847
2012-10-24,82851
2012-10-25,61471
2012-10-26,57167
2012-10-27,44945
2012-10-28,49428
2012-10-29,64921
2012-10-30,73802
2012-10-31,61724
2012-11-01,66545
2012-11-02,67528
2012-11-03,61062
2012-11-04,67612
2012-11-05,74730
2012-11-06,85392
2012-11-07,80711
2012-11-08,79509
2012-11-09,66166
2012-11-10,64656
2012-11-11,59174
2012-11-12,57737
2012-11-13,71396
2012-11-14,75978
2012-11-15,84469
2012-11-16,92943
2012-11-17,117834
2012-11-18,80418
2012-11-19,88424
2012-11-20,93044
2012-11-21,89534
2012-11-22,72521
2012-11-23,79679
2012-11-24,76795
2012-11-25,90622
2012-11-26,82198
2012-11-27,70297
2012-11-28,95255
2012-11-29,81666
2012-11-30,86991
2012-12-01,59355
2012-12-02,55796
2012-12-03,58600
2012-12-04,75947
2012-12-05,79837
2012-12-06,84211
2012-12-07,75142
2012-12-08,75038
2012-12-09,92015
2012-12-10,87144
2012-12-11,93630
2012-12-12,81216
2012-12-13,96311
2012-12-14,84030
2012-12-15,74551
2012-12-16,91513
2012-12-17,102233
2012-12-18,127430
2012-12-19,89276
2012-12-20,87261
2012-12-21,97794
2012-12-22,111931
2012-12-23,86241
2012-12-24,75700
2012-12-25,79801
2012-12-26,89629
2012-12-27,108113
2012-12-28,107758
2012-12-29,91196
2012-12-30,101358
2012-12-31,69820
2013-01-01,86365
2013-01-02,99882
2013-01-03,98844
2013-01-04,101232
2013-01-05,94436
2013-01-06,85663
2013-01-07,7738
